# ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
# AUTO-GENERATED FILE — DO NOT EDIT MANUALLY
# Generated by : scripts/generate.py
# Generated on : 2026-05-31 21:46
# Source       : layout/granthom_rasavan_v1.2.json
"# To update    : edit the source file, then run: python scripts/generate.py"
# ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

# ── KEYBOARD SCORE (Weighted Effort Score) ─────────────────────────
#
# Formula (Colemak Mod-DH model):
#
#   WES = Σ ( effort_score_i × frequency_pct_i )
#             ─────────────────────────────────
#                   Σ ( frequency_pct_i )
#
# Where:
#   effort_score_i  = Colemak Mod-DH score for the key assigned to group i
#                     (from data/effort_scores.csv)
#   frequency_pct_i = corpus frequency % of character group i
#                     (from data/character_frequencies.csv)
#
# Effort scores reflect: row penalty + finger strength + lateral motion
# penalty (Fitts's Law). Home row index finger = 1.0 (minimum).
# Source: https://colemakmods.github.io/mod-dh/
#
# WES (this layout) = 1.9294
#
# Reference scores:
#   Theoretical minimum   : 1.0000  (home row only)
#   Granthom Rasavan v1.2  : 1.9294  (this layout)
"#   Granthom Rasavan v3.0  : 1.8060  (analysis optimum, pending testing)"
#   Colemak Mod-DH (English): ~1.800
#   InScript Malayalam     : ~2.200  (estimated)
#   QWERTY (English)       : ~3.000
#
# weighted_contribution column = effort_score × frequency_pct per key
# Sum of weighted_contribution / sum of frequency_pct = WES above
# ────────────────────────────────────────────────────────────────────

ph,label,normal,shift,altgr,altgr_shift,effort_score,effort_rank,hand,row,finger,group_id,group_type,raw_count,frequency_pct,weighted_contribution
o,O,ഷ,ഷ്,o,O,2.4,19,R,top,ring,SSA,consonant,830849,0.7394,1.77456
",",",",വ,വ്,",",<,2.4,20,R,bot,middle,VA,consonant,3377471,3.0057,7.21368
w,W,ശ,ശ്,w,W,2.5,21,L,top,ring,SHA,consonant,806452,0.7177,1.79425
t,T,ോ,ഓ,t,T,2.6,22,L,top,index,OO,vowel,1673837,1.4896,3.87296
z,Z,ീ,ഈ,,Z,2.7,23,L,bot,pinky,II,vowel,1088367,0.9686,2.61522
.,.,ച,ച്,.,>,2.7,24,R,bot,ring,CA,consonant,2158515,1.9209,5.18643
/,/,ഗ,ഗ്,/,?,3.3,25,R,bot,ring,GA,consonant,927354,0.8253,2.72349
4,4,ൊ,ഒ,൪,$,2.9,26,L,num,index,O,vowel,655481,0.5833,1.69157
5,5,ധ,ധ്,൫,%,2.9,27,L,num,index,DHA,consonant,574712,0.5115,1.48335
g,G,ല,ല്,ൽ,G,2.9,28,L,home,index,LA,consonant,4272153,3.8019,11.02551
h,H,ം,അ,ഃ,H,2.9,29,R,home,index,A,vowel,4158689,3.7010,10.7329
7,7,ഹ,ഹ്,൭,&,2.9,30,R,num,index,HA,consonant,584570,0.5202,1.50858
8,8,ൈ,ഐ,൮,*,2.9,31,R,num,middle,AI,vowel,340427,0.3030,0.8787
q,Q,ജ,ജ്,,Q,3.0,32,L,top,pinky,JA,consonant,728449,0.6483,1.9449
9,9,ഖ,ഖ്,൯,(,3.0,33,R,num,ring,KHA,consonant,177987,0.1584,0.4752
p,P,ൂ,ഊ,p,P,3.0,34,R,top,pinky,UU,vowel,749042,0.6666,1.9998
3,3,ഭ,ഭ്,൩,#,3.4,37,L,num,middle,BHA,consonant,498527,0.4437,1.50858
',',ബ,ബ്,',"""",3.4,39,R,home,pinky,BA,consonant,710023,0.6319,2.14846
y,Y,േ,ഏ,,Y,3.4,40,R,top,index,EE,vowel,1592519,1.4172,4.81848
6,6,ഡ,ഡ്,൬,^,3.5,42,R,num,index,DDA,consonant,550399,0.4898,1.7143
0,0,ൗ,ഔ,൦,),3.5,43,R,num,pinky,AU,vowel,100977,0.0899,0.31465
[,[,ഞ,ഞ്,[,{,3.6,45,R,top,pinky,NYA,consonant,334565,0.2977,1.07172
b,B,മ,മ്,b,B,3.7,46,L,bot,index,MA,consonant,3251634,2.8937,10.70669
2,2,ഴ,ഴ്,൨,@,4.0,49,L,num,ring,ZHA,consonant,318870,0.2838,1.1352
-,-,ഘ,ഘ്,-,_,4.2,53,R,num,pinky,GHA,consonant,86802,0.0773,0.32466
1,1,ൃ,ഋ,൧,!,4.6,56,L,num,pinky,R,vowel,168307,0.1498,0.68908
],],ഫ,ഫ്,],},4.7,57,R,top,pinky,PHA,consonant,328799,0.2926,1.37522
=,=,ഥ,ഥ്,=,+,5.1,59,R,num,pinky,THA,consonant,336479,0.2994,1.52694
`,`,ഛ,ഛ്,ഝ,ഝ്,5.5,60,L,num,pinky,CHA,consonant,15484,0.0138,0.0759
\,\,ഠ,ഠ്,ഢ,ഢ്,5.6,61,R,top,pinky,TTHA,consonant,57003,0.0507,0.28392
